filename,label,targeted_label
0c7ac4a8c9dfa802.png,305,778
f43fbfe8a9ea876c.png,883,377
4fc263d35a3ad3ee.png,243,122
cc13c2bc5cdd1f44.png,559,740
73a52afd2f818ed5.png,438,695
58f0fd17c4a0e25a.png,990,99
90e11aa7c36c64f2.png,949,0
696f0f6bea562bf8.png,853,266
df58f94361c6d105.png,609,12
1394faa319bd353c.png,609,506
6cae4a23623d142b.png,582,439
d02adcb9140880a1.png,915,782
71080285ad6cb4e9.png,455,477
137ab6ca314e9e35.png,619,555
c819099fed6f0d73.png,961,776
4b384c8247b56c0a.png,541,924
62ebd5f7ce015380.png,630,691
f24817d66024dfb6.png,741,739
1b57d7bbd673c771.png,422,926
a2de1f4f2c1021fa.png,455,184
3e7b01ba495f15f9.png,707,409
1a264165276e3c85.png,854,758
bc9a5e01c02e759e.png,922,17
01bdc0cfe670f708.png,471,540
6af829a442e2e0e7.png,129,230
493694833dc23399.png,537,834
6ac94c9244f84aa3.png,672,335
7529b42e71769777.png,476,617
d204464fcf15ad99.png,299,268
7fd7ce3eb2bf9944.png,99,112
303781188f1b3b27.png,476,338
67967c9db11151e0.png,251,819
fa2a7d600b62174e.png,520,571
cd2d2889ef7ac51c.png,923,606
11954d93a7051cb5.png,22,502
03f90f7138f761e8.png,663,489
19935b1c0a4d305d.png,760,641
9cf861a657c27cec.png,582,896
05817a675e7506d1.png,672,753
e1c702ed9842dd1c.png,692,756
e7cafac174e90143.png,525,115
1a680f33500acb4b.png,931,72
81ddbe14219e9dcf.png,317,671
04cb9de291399d15.png,464,450
23f9d18d531eb148.png,478,850
63f2e14ab6be82cf.png,667,693
0dffbfa7ba43cb90.png,961,94
a97274c7e80a1764.png,865,925
85e2eea48d912d31.png,805,135
ff5182599937c1ec.png,324,209
4bb12984b41d0834.png,33,7
150249123e81930d.png,922,484
f963957ccfa82f6b.png,142,7
890fdaf4e1892e00.png,312,691
9a1c67f467b9beea.png,302,89
217597258ac12258.png,582,804
346c5575b60194c3.png,948,624
296033c3a5910845.png,360,796
3a7d9bd310202e93.png,789,659
56e9d5f63cfc507e.png,440,623
602f2c3749d6021e.png,746,105
7c754696067fdfa9.png,764,468
8f5eda0b6a910b43.png,949,917
89119361e9d9e02d.png,480,472
da63f2acf683c0a7.png,133,616
741fc1a3fc08731d.png,792,399
d77af00930283f4b.png,900,648
97151fe7a0a6e2e3.png,733,227
393d40f3a6a79400.png,327,845
8f5e0855ca8de8ea.png,467,715
d72f34526e12fd83.png,441,324
957529a2abaa0581.png,882,647
3bd1ba0432603b28.png,920,88
3228a465697fb2cf.png,839,921
871c99d5658c3189.png,955,586
1733cbc68a2ae05d.png,555,891
69a3493d13953e1f.png,519,406
